id,date,home_team,home_team_score,visit_team,visit_team_score
400277722,2016/10/30,Miami Heat,120,Boston Celtics,107
400277737,2016/11/2,Boston Celtics,88,Milwaukee Bucks,99
400277747,2016/11/3,Washington Wizards,86,Boston Celtics,89
400277774,2016/11/7,Boston Celtics,100,Washington Wizards,94
400277790,2016/11/9,Boston Celtics,100,Philadelphia 76ers,106
400277806,2016/11/10,Milwaukee Bucks,92,Boston Celtics,96
400277818,2016/11/12,Chicago Bulls,95,Boston Celtics,101
400277830,2016/11/14,Boston Celtics,98,Utah Jazz,93
400277839,2016/11/15,Brooklyn Nets,102,Boston Celtics,97
400277851,2016/11/17,Boston Celtics,107,Toronto Raptors,89
400277864,2016/11/18,Detroit Pistons,103,Boston Celtics,83
400277881,2016/11/21,Boston Celtics,100,San Antonio Spurs,112
400277893,2016/11/23,Boston Celtics,108,Oklahoma City Thunder,100
400277915,2016/11/25,Orlando Magic,110,Boston Celtics,116
400277931,2016/11/28,Boston Celtics,83,Brooklyn Nets,95
400277945,2016/11/30,Boston Celtics,96,Portland Trail Blazers,78
400277958,2016/12/1,Milwaukee Bucks,91,Boston Celtics,88
400277979,2016/12/5,Boston Celtics,104,Minnesota Timberwolves,94
400277990,2016/12/7,Philadelphia 76ers,95,Boston Celtics,94
400278005,2016/12/8,Boston Celtics,92,Philadelphia 76ers,79
400278035,2016/12/12,Boston Celtics,117,Dallas Mavericks,115
400278052,2016/12/14,Houston Rockets,101,Boston Celtics,89
400278064,2016/12/15,San Antonio Spurs,103,Boston Celtics,88
400278080,2016/12/18,Chicago Bulls,100,Boston Celtics,89
400278090,2016/12/19,Boston Celtics,103,Cleveland Cavaliers,91
400278102,2016/12/21,Boston Celtics,94,Milwaukee Bucks,99
400278125,2016/12/25,Brooklyn Nets,76,Boston Celtics,93
400278144,2016/12/27,Los Angeles Clippers,106,Boston Celtics,77
400278167,2016/12/29,Golden State Warriors,101,Boston Celtics,83
400278170,2016/12/30,Sacramento Kings,118,Boston Celtics,96
400278188,2016/1/2,Boston Celtics,83,Memphis Grizzlies,93
400278203,2016/1/4,Boston Celtics,94,Indiana Pacers,75
400278209,2016/1/5,Atlanta Hawks,81,Boston Celtics,89
400278225,2016/1/7,New York Knicks,96,Boston Celtics,102
400278239,2016/1/9,Boston Celtics,87,Phoenix Suns,79
400278251,2016/1/11,Boston Celtics,103,Houston Rockets,91
400278277,2016/1/14,Boston Celtics,100,Charlotte Bobcats,89
400278293,2016/1/16,Boston Celtics,78,New Orleans Hornets,90
400278304,2016/1/18,Boston Celtics,99,Chicago Bulls,100
400278323,2016/1/20,Detroit Pistons,103,Boston Celtics,88
400278334,2016/1/22,Cleveland Cavaliers,95,Boston Celtics,90
400278350,2016/1/24,Boston Celtics,86,New York Knicks,89
400278353,2016/1/25,Atlanta Hawks,123,Boston Celtics,111
400278372,2016/1/27,Boston Celtics,100,Miami Heat,98
400278392,2016/1/30,Boston Celtics,99,Sacramento Kings,81
400278406,2016/2/1,Boston Celtics,97,Orlando Magic,84
400278425,2016/2/3,Boston Celtics,106,Los Angeles Clippers,104
400278440,2016/2/6,Toronto Raptors,95,Boston Celtics,99
400278453,2016/2/7,Boston Celtics,116,Los Angeles Lakers,95
400278474,2016/2/10,Boston Celtics,118,Denver Nuggets,114
400278482,2016/2/11,Charlotte Bobcats,94,Boston Celtics,91
